event_timestamp,advertising_id,advertising_id_type,user_id,ad_unit,ad_network,instance_name,country,placement,segment,AB_Testing,revenue
2021-01-12 02:28:29,39561c30-1201-424f-a9af-a9564f738523,idfa,0b5ca3e3-8ea1-450b-8dc4-88d5d29ae192,interstitial,IronSource,Bidding,CN,defaultinterstitial,"",A,0.0
2021-01-12 10:49:07,4c32b043-7428-47cd-9319-431a3db841ac,idfa,29ec8d29-2cb5-4c1d-95f9-59c8e4d80777,rewarded_video,admob,RW_TIRE_3_MD,RU,defaultrewardedvideo,"",A,0.0
2021-01-12 16:24:10,3d50f454-3288-4c2c-9ad0-81fab6bdd04e,idfa,3b9f102d-6899-4237-bac0-ba52b94ae829,rewarded_video,admob,RW_TIRE_3_MD,CN,defaultrewardedvideo,"",A,0.0
2021-01-12 05:12:29,849327e9-bbd1-4696-a248-6098bc3f3221,idfa,bbd1b236-637e-4739-a0a5-c6150c404e11,rewarded_video,IronSource,reward gang appolvin,NZ,"","",A,0.0
2021-01-12 18:30:44,2bff50ff-b579-4cc4-b2f2-128c58b6f675,idfa,f82b562a-76fa-4bae-8667-58d7bb8194d1,rewarded_video,IronSource,reward gang appolvin,EG,"","",A,0.0
2021-01-12 14:42:47,571df5e4-b194-4385-8233-ee475598bf37,idfa,27755976-d779-4275-b88d-54200023f320,rewarded_video,IronSource,reward gang appolvin,UZ,"","",A,0.0
2021-01-12 23:28:45,ecdfc1d0-f478-4e27-b9b0-8d9f4425ad58,idfa,6fd53440-9a72-4091-ab6f-4cd2425afa63,rewarded_video,IronSource,reward gang appolvin,SA,"","",A,0.0
2021-01-12 23:07:05,3a48790e-2120-46cb-a00c-5d8146adf3b4,idfa,923acd03-b611-41c2-935e-c8b9a9a4b825,rewarded_video,IronSource,reward gang appolvin,SA,"","",A,0.0
2021-01-12 10:55:51,0b357ccd-0c09-4284-ae87-849c4a5df9c8,idfv,0b357ccd-0c09-4284-ae87-849c4a5df9c8,rewarded_video,IronSource,reward gang appolvin,ES,"","",A,0.0
2021-01-12 19:11:47,167b11d0-76a4-4cdf-a4a5-3f503ee8f23a,idfv,167b11d0-76a4-4cdf-a4a5-3f503ee8f23a,rewarded_video,IronSource,reward gang appolvin,ES,"","",A,0.0
2021-01-12 20:01:51,0b357ccd-0c09-4284-ae87-849c4a5df9c8,idfv,0b357ccd-0c09-4284-ae87-849c4a5df9c8,rewarded_video,IronSource,reward gang appolvin,ES,"","",A,0.0
2021-01-12 12:07:13,cd8d1726-6199-4ffe-95e7-59094b7af61f,idfa,87b7ca6b-07ba-433a-9d44-c4dd98878902,rewarded_video,IronSource,reward gang appolvin,KH,"","",A,0.0
2021-01-12 12:01:04,cd8d1726-6199-4ffe-95e7-59094b7af61f,idfa,87b7ca6b-07ba-433a-9d44-c4dd98878902,rewarded_video,IronSource,reward gang appolvin,KH,"","",A,0.0
2021-01-12 12:12:28,cd8d1726-6199-4ffe-95e7-59094b7af61f,idfa,87b7ca6b-07ba-433a-9d44-c4dd98878902,rewarded_video,IronSource,reward gang appolvin,KH,"","",A,0.0
2021-01-12 10:44:06,cd8d1726-6199-4ffe-95e7-59094b7af61f,idfa,87b7ca6b-07ba-433a-9d44-c4dd98878902,rewarded_video,IronSource,reward gang appolvin,KH,"","",A,0.0
2021-01-12 12:20:24,cd8d1726-6199-4ffe-95e7-59094b7af61f,idfa,87b7ca6b-07ba-433a-9d44-c4dd98878902,rewarded_video,IronSource,reward gang appolvin,KH,"","",A,0.0
2021-01-12 23:16:13,6e671244-1b7f-4d98-bdd5-0dbe7c0edd6a,idfa,96763b2c-a4af-4127-969f-61fb3ff464c3,rewarded_video,IronSource,reward gang appolvin,KH,"","",A,0.0
